Department,Level,Course Code,Course Title,Unit,Lecturer,Day,Time,Lecture Hall
Exceptional Building Halls (Dekagon),300 Level,INR 301,Contemporary Strategies Studies,3,Mr Arthur,Wednesday,1pm – 3pm,BENIN (AB)
Exceptional Building Halls (Dekagon),300 Level,ENT 311,"Principles And Practice Of
Entrepreneurship",2,Miss Lauretta,Tuesday,1pm – 3pm,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,GNS 314,Research Methodology,6,Mr Oyedapo,Friday,3pm- 5pm,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,FRN 301,Intensive French,2,Mr Gabriel,Friday,10am – 12pm,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,INR 321,Foreign Policy Of African State,3,Mr Yonmo,Friday,1pm – 3pm,TUNISIA (AB)
Exceptional Building Halls (Dekagon),300 Level,INR 307,Evolution Of Modern International System,3,Dr. Dami,Thursday,1pm – 3pm,ALGERIA (EB)
Exceptional Building Halls (Dekagon),300 Level,INR 303,Peace And Conflicts Studies,3,Mrs Kelechi,Thursday,10am – 12pm,SEYCHELLS (AB)
Exceptional Building Halls (Dekagon),300 Level,INR 322,History And Practices Of Diplomacy,3,Mrs Kelechi,Thursday,8am – 10am,TANZANIA (AB)
Exceptional Building Halls (Dekagon),300 Level,INR 332,Defense Policy And Arms Control,3,Mr Arthur,Wednesday,10am – 12pm,BENIN (AB)
Exceptional Building Halls (Dekagon),300 Level,INR 301,Contemporary Strategies Studies,3,Mr Arthur,Wednesday,1pm – 3pm,BENIN (AB)
Exceptional Building Halls (Dekagon),300 Level,ENT 311,"Principles And Practice Of
Entrepreneurship",2,Miss Lauretta,Tuesday,1pm – 3pm,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,GNS 314,Research Methodology,6,Mr Oyedapo,Friday,3pm- 5pm,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,FRN 301,Intensive French,2,Mr Gabriel,Friday,10am – 12pm,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,INR 321,Foreign Policy Of African State,3,Mr Yonmo,Friday,1pm – 3pm,TUNISIA (AB)
Exceptional Building Halls (Dekagon),300 Level,INR 307,Evolution Of Modern International System,3,Dr. Dami,Thursday,1pm – 3pm,ALGERIA (EB)
Exceptional Building Halls (Dekagon),300 Level,INR 303,Peace And Conflicts Studies,3,Mrs Kelechi,Thursday,10am – 12pm,TUNISIA (AB)
Exceptional Building Halls (Dekagon),300 Level,INR 322,History And Practices Of Diplomacy,3,Mrs Kelechi,Thursday,8am – 10am,TANZANIA (AB)
Exceptional Building Halls (Dekagon),300 Level,INR 332,Defense Policy And Arms Control,3,Mr Arthur,Wednesday,10am – 12pm,BENIN (AB)
Exceptional Building Halls (Dekagon),300 Level,INR 301,Contemporary Strategies Studies,3,Mr Arthur,Wednesday,1pm – 3pm,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,ENT 311,"Principles And Practice Of
Entrepreneurship",2,Miss Lauretta,Tuesday,1pm – 3pm,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,GNS 314,Research Methodology,6,Mr Goni,Thursday,1pm – 3pm,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,FRN 301,Intensive French,2,Mr Gabriel,Friday,10am – 12pm,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,CNG 307,Software Engineering 2,3,Mr Goni,Friday,8am – 10am,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,CSC 303,Computer Security,3,Mr Tunde,Wednesday,8am – 10am,MAIN  AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,CSC 304,Introduction To Programming In Python,3,Mr Goni,Friday,3pm – 5pm,BENIN(AB)
Exceptional Building Halls (Dekagon),300 Level,CSC 305,Computer Graphics And Animations,3,Mr Joseph,Thursday,10am – 12pm,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,CSC 312,Advance Web Technology,3,Engr Raymond,Thursday,8am – 10am,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,CSC 315,Computer Architecture,3,Engr Raymond,Friday,1pm – 3pm,BENIN (AB)
Exceptional Building Halls (Dekagon),300 Level,ENT 311,"Principles And Practice Of
Entrepreneurship",2,Miss Lauretta,Tuesday,1pm – 3pm,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,GNS 314,Research Methodology,6,Mr Goni,Thursday,1pm – 3pm,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,FRN 301,Intensive French,2,Mr Gabriel,Friday,10am – 12pm,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,CNG 307,Software Engineering 2,3,Mr Goni,Friday,8am – 10am,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,CSC 303,Computer Security,3,Mr Tunde,Wednesday,8am – 10am,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,CSC 304,Introduction To Programming In Python,3,Mr Goni,Friday,3pm – 5pm,BENIN(AB)
Exceptional Building Halls (Dekagon),300 Level,CSC 305,Computer Graphics And Animations,3,Mr Joseph,Thursday,10am – 12pm,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,CSC 312,Advance Web Technology,3,Engr Raymond,Thursday,8am – 10am,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,CSC 315,Computer Architecture,3,Engr Raymond,Friday,1pm – 3pm,BENIN (AB)
Exceptional Building Halls (Dekagon),300 Level,ENT 311,"Principles And Practice Of
Entrepreneurship",2,Miss Lauretta,Tuesday,1pm – 3pm,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,GNS 314,Research Methodology,6,Mr Oyedapo,Friday,3pm- 5pm,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,FRN 301,Intensive French,2,Mr Gabriel,Friday,10am – 12pm,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,SOC 301,Contemporary Sociological Theories,3,Mr Ogunsola,Thursday,1pm – 3pm,CAPE-VERDE (EB)
Exceptional Building Halls (Dekagon),300 Level,CRM 301,"Urbanization, Violence and Social Security",3,Mrs Ugochi,Thursday,8am – 10am,SYCHELLES (EB)
Exceptional Building Halls (Dekagon),300 Level,SOC 311,Social Stratifications and Mobility,3,Mrs Ugochi,Wednesday,3pm – 5pm,TANZANIA (AB)
Exceptional Building Halls (Dekagon),300 Level,CRM 311,Criminal Investigation,3,Barr. Dayo,Friday,8am – 10am,UGANDA (EB)
Exceptional Building Halls (Dekagon),300 Level,SOC 321,Political Sociology,3,Mr Ogunsola,Thursday,3pm – 5pm,UGANDA (EB)
Exceptional Building Halls (Dekagon),300 Level,INR 303,Peace And Conflicts Studies,3,Mrs Kelechi,Thursday,10am – 12pm,TUNISIA(AB)
Exceptional Building Halls (Dekagon),300 Level,ENT 311,"Principles And Practice Of
Entrepreneurship",2,Miss Lauretta,Tuesday,1pm – 3pm,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,GNS 314,Research Methodology,6,Mr Oyedapo,Friday,3pm- 5pm,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,FRN 301,Intensive French,2,Mr Gabriel,Friday,10am – 12pm,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,SOC 301,Contemporary Sociological Theories,3,Mr Ogunsola,Thursday,1pm – 3pm,ETHOPIA (EB)
Exceptional Building Halls (Dekagon),300 Level,CRM 301,"Urbanization, Violence and Social Security",3,Mrs Ugochi,Thursday,8am – 10am,SYCHELLES (AB)
Exceptional Building Halls (Dekagon),300 Level,SOC 311,Social Stratifications and Mobility,3,Mrs Ugochi,Wednesday,3pm – 5pm,TANZANIA (AB)
Exceptional Building Halls (Dekagon),300 Level,CRM 311,Criminal Investigation,3,Barr. Dayo,Friday,8am – 10am,UGANDA (EB)
Exceptional Building Halls (Dekagon),300 Level,SOC 321,Political Sociology,3,Mr Ogunsola,Thursday,3pm – 5pm,UGANDA (EB)
Exceptional Building Halls (Dekagon),300 Level,INR 303,Peace And Conflicts Studies,3,Mrs Kelechi,Thursday,10am – 12pm,TUNISIA (AB)
Exceptional Building Halls (Dekagon),300 Level,ENT 311,"Principles And Practice Of
Entrepreneurship",2,Miss Lauretta,Tuesday,1pm – 3pm,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,GNS 314,Research Methodology,6,Mr Oyedapo,Friday,3pm- 5pm,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,FRN 301,Intensive French,2,Mr Gabriel,Friday,10am – 12pm,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,ESM 301,Applied Property Management,3,Mr Timothy,Thursday,1pm – 3pm,TANZANIA (EB)
Exceptional Building Halls (Dekagon),300 Level,ESM 311,Feasibility and Viability Studies,3,Mr Ajani,Wednesday,1pm – 3pm,MAURITIUS (AB)
Exceptional Building Halls (Dekagon),300 Level,ESM 321,Land Use Resources Development,3,Mrs Kate,Monday,1pm – 3pm,MAURITIUS (AB)
Exceptional Building Halls (Dekagon),300 Level,ESM 331,Applied Town Planning,3,Mr Timothy,Thursday,3pm – 5pm,TANZANIA    (AB)
Exceptional Building Halls (Dekagon),300 Level,ESM 341,Environmental Impact Assessment,3,Mr Ajani,Wednesday,3pm – 5pm,MAURITIUS (AB)
Exceptional Building Halls (Dekagon),300 Level,BUD 301,Building Economics,3,Mrs Kate,Monday,3pm – 5pm,MAURITIUS (AB)
